location_name,location,season,K,B,M,Q,nu,N,peak_time,A
Alabama,01,2021/2022,0.6921212447773119,0.07471084036100724,0.656434833378499,0.8779676018713174,0.25042110040640775,6847.685287586905,16.0894,1.0
Alabama,01,2022/2023,0.49078323547986713,0.29059045064638184,0.6505660356563946,0.6949513599690549,0.1152336221012612,9873.946500860735,5.8306000000000004,1.0
Alabama,01,2023/2024,0.5202109583647839,0.26380209031573626,1.1796671318564158,2.4295080588357387,0.09202623303162691,9081.520151660783,12.41,1.0
Alabama,01,2024/2025,0.39321239086164317,0.23656441461978894,0.9604254726298467,2.239005613370984,0.063502437379526,16223.478518256969,14.892900000000001,1.0
Alaska,02,2021/2022,0.8809549031613395,0.06815466765574073,0.6692981813922113,0.9719142175075122,0.4150254047898397,6160.631866829264,18.3423,1.0
Alaska,02,2022/2023,0.8090046038137022,0.40255885613677445,2.079359150621418,2.8390878954791856,0.14819426321831403,6030.714218578978,8.2714,1.0
Alaska,02,2023/2024,0.832881203743834,0.2864130899943182,0.682482474965941,0.724009226903402,0.3515167451179362,6655.383065475999,3.0212000000000003,1.0
Alaska,02,2024/2025,0.7413388201254246,0.15779339500068992,0.8293641258865857,1.8912174256091692,0.12153925058362855,6405.50234673309,16.6916,1.0
Arizona,04,2021/2022,0.45006926032919486,0.07802066582311266,0.67572495253715,1.3070744419006797,0.18498389895230577,11463.43006946962,24.0925,1.0
Arizona,04,2022/2023,0.42822605115984097,0.39169160506961653,1.071917593965095,2.346389361566369,0.07219056162472479,13067.543688165444,8.9963,1.0
Arizona,04,2023/2024,0.3787470435660962,0.32668057870868356,1.5035485122161794,3.7824670476211995,0.0824696405833036,16280.714002717245,12.0082,1.0
Arizona,04,2024/2025,0.31272254477960887,0.29092116933265444,1.26803639180803,2.6664597692671115,0.07439268518865824,29868.837616699817,12.428600000000001,1.0
Arkansas,05,2021/2022,0.21702861825599631,0.25280480172747033,23.143833939552653,1.0858450395076655,0.9731035789771825,1866.9696869419408,23.622500000000002,1.0
Arkansas,05,2022/2023,0.4992931635449535,0.36952268303505376,1.3277229888609814,2.742197526694197,0.15961494020378217,8915.556562878564,7.9793,1.0
Arkansas,05,2023/2024,0.47460646211405155,0.22342742070592278,1.8858603496605495,6.183517540929648,0.16123742810945493,10403.081884131914,16.8768,1.0
Arkansas,05,2024/2025,0.44237262181443243,0.4121765832740368,16.902989129910146,1.574262697852719,0.5050795698771529,11269.939112327094,18.0347,1.0
California,06,2021/2022,0.46234926220942946,0.522710827342792,37.57909144100145,0.8111078530468454,2.1355047753038288,10745.84374680927,33.9499,1.0
California,06,2022/2023,0.3037692719935162,0.4463529994929292,1.2973403998248147,2.5566518695505365,0.07814473342307629,29237.369204168142,8.0,1.0
California,06,2023/2024,0.3191422273886493,0.3093920002814051,1.3715165028002103,3.996554249319167,0.11410883708087217,24529.163788709127,11.7879,1.0
California,06,2024/2025,0.25275471483696865,0.25906413634300446,1.6050222639749052,4.565998752243433,0.12563207792182854,64433.79926914411,14.6806,1.0
Colorado,08,2021/2022,0.5839690719928511,0.6250649492275799,33.182041675514974,0.7860517341299492,2.522749306712536,7613.869156445213,29.6719,1.0
Colorado,08,2022/2023,0.558179353619656,1.0802510666251104,13.760750112889705,0.8208868991757854,3.0891957701241193,7822.856571227414,10.9999,1.0
Colorado,08,2023/2024,0.47064723375143586,0.21458799551692492,0.852973724790307,1.9397075520613487,0.11674907652838414,10188.781089104436,12.7225,1.0
Colorado,08,2024/2025,0.38614052547729655,0.2333364934392771,1.1034883109252098,2.5378952677748465,0.06733425714564494,14854.287352649288,15.5267,1.0
Connecticut,09,2021/2022,0.7629811424514378,0.49937635914337075,32.620094661512006,0.8834337268220119,1.6311740265306036,6354.02446099073,30.0727,1.0
Connecticut,09,2022/2023,0.5302251235422527,0.48414699676635187,2.092769753577842,3.7785917073683537,0.08232835614954291,8136.137153911485,9.0,1.0
Connecticut,09,2023/2024,0.5086872276544495,0.16241602343849137,0.7844112546958263,1.502609118629448,0.10531274291049615,9058.175266568061,15.7697,1.0
Connecticut,09,2024/2025,0.4507059388965222,0.45677831574901906,19.39030337371704,1.1584460843307283,0.9698539116872023,10721.844325514732,17.9099,1.0
Delaware,10,2021/2022,0.9697357508475624,1.6716056952969125,27.668575101703627,0.678285318433033,0.3025867739213146,6039.20390196208,27.0002,1.0
Delaware,10,2022/2023,0.8335954202960392,0.3499311527687441,0.9132490294422296,1.537942048726012,0.0862873422477557,6071.411927032129,8.0355,1.0
Delaware,10,2023/2024,0.7954878343449684,0.20302000115457117,0.7937370234790624,1.4816216491718375,0.0682617499355973,6281.445438535689,14.749600000000001,1.0
Delaware,10,2024/2025,0.6219500738709659,0.23285960265504993,1.2320656764735274,2.752624455820662,0.07254732440522885,7337.7936556109935,15.7712,1.0
District of Columbia,11,2021/2022,0.9666121823034505,0.11628377590225947,0.8176933132000466,2.452607280103593,0.08030407479287274,6012.884332918667,28.8292,1.0
District of Columbia,11,2022/2023,0.8316560539797576,0.3616029415999409,0.8485111042614812,1.432425438818031,0.10744534642584809,6085.59876489858,6.9444,1.0
District of Columbia,11,2023/2024,0.8003875243238808,0.19418145182868227,0.746608677050645,1.2463598996095624,0.08110582231804604,6273.691172033391,13.668600000000001,1.0
District of Columbia,11,2024/2025,0.6108362184831752,0.27894029409986504,2.5759361655193733,4.089334770391046,0.06425383149113272,7420.655032712494,17.2587,1.0
Florida,12,2021/2022,0.44418071951577703,0.6238135545168391,37.56359567092719,0.7655970888815767,2.039335652639476,11568.079028912729,34.312400000000004,1.0
